Julian_Day, SANSA_foF2, Measured_foF2, ICEPAC_foF2, Kp, F10, Dst
202106801,2.9477403461280867,3.4,2.8692307692307693,1.3,75.4,-6.0
202106802,3.1143030408564814,3.3,3.1307692307692307,1.3,75.4,-5.0
202106803,2.874869167184414,3.15,3.707692307692308,0.7,75.4,-6.0
202106804,4.038205488178049,3.15,4.6000000000000005,0.7,75.4,-6.0
202106805,5.1572985933844535,3.35,5.6923076923076925,0.7,75.4,-4.0
202106806,5.563295161784917,4.45,6.792307692307692,0.7,75.4,-3.0
202106807,5.800126493351853,5.3,7.699999999999999,0.7,75.4,-2.0
202106808,6.089008667021414,5.5,8.299999999999999,0.7,75.4,-3.0
202106809,6.807310288037617,6.15,8.53076923076923,0.3,75.4,-1.0
202106810,6.893194177506946,6.7,8.446153846153846,0.3,75.4,-2.0
202106811,6.638145051204091,7.25,8.123076923076923,0.3,75.4,-1.0
202106812,6.921822140663388,6.65,7.615384615384615,0.7,75.4,-2.0
202106813,6.809912830142748,6.4,6.961538461538462,0.7,75.4,-4.0
202106814,6.776079782776042,6.15,6.184615384615384,0.7,75.4,-5.0
202106815,6.109829003862461,5.65,5.315384615384615,0.7,75.4,-4.0
202106816,5.763690903880017,5.45,4.43076923076923,0.7,75.4,-2.0
202106817,4.142307172383295,5.3,3.646153846153846,0.7,75.4,1.0
202106818,3.8560275408188662,5.45,3.0692307692307694,0.3,75.4,2.0
202106819,3.3068911566361887,4.75,2.753846153846154,0.3,75.4,2.0
202106820,3.301686072425926,4.35,2.6769230769230767,0.3,75.4,3.0
202106821,3.1247132092770062,4.05,2.7384615384615385,0.0,75.4,3.0
202106822,3.2236098092719905,3.4,2.8153846153846156,0.0,75.4,5.0
202106823,2.932125093497299,3.3,2.830769230769231,0.0,75.4,6.0
202106900,3.335753831812723,3.4,2.8153846153846156,0.0,75.3,5.0
202106901,2.9458902631461896,3.4,2.8692307692307693,0.0,75.3,3.0
